en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
unearned,未滿期保費,2,2,2,-0.0195,0.3775
afresh,重新,8,8,8,-0.0194,0.5439
reversal,不認罪,8,8,8,-0.0194,0.6347
contract,合同,8,8,8,-0.0193,0.7351
isolate,隔離,8,8,8,-0.0193,0.613
underway,在航,8,8,8,-0.0193,0.7075
condemned,宣告不合格,8,8,8,-0.0192,0.7244
conferencing,視像會議,8,8,8,-0.0192,0.736
out-patient,門診,6,6,6,-0.0192,0.6489
technology,推播技術,8,2,2,-0.0192,0.6256
exhibit,證物,8,8,8,-0.0191,0.5077
withdrawal,退出,8,8,8,-0.0191,0.6729
proximity,接近,8,8,8,-0.019,0.6639
compartment,隔間,8,8,8,-0.019,0.6739
careful,合格而謹慎的駕駛人,8,3,3,-0.0189,0.5957
registrable,可登記,8,8,8,-0.0188,0.6764
service,郵遞送達,8,8,8,-0.0188,0.6219
referral,提交,8,8,8,-0.0188,0.6115
defence,抗辯,8,8,8,-0.0187,0.6162
preservative,准許防腐劑,8,2,2,-0.0187,0.6936
legible,可閱讀,8,8,8,-0.0186,0.7439
infanticide,殺嬰,5,6,5,-0.0186,0.7491
transmittee,承傳人,8,8,8,-0.0186,0.6412
compressor,空氣壓縮機,8,8,8,-0.0186,0.7294
course,運作,8,8,8,-0.0185,0.6897
day,天,8,8,8,-0.0185,0.5791
future interest,未來權益,2,3,2,-0.0185,0.5385
sustain,維持,8,8,8,-0.0185,0.5903
telecommunications,電訊人員,8,2,2,-0.0185,0.6833
undisturbed,不受干擾,8,8,8,-0.0185,0.6184
main,主要,8,8,8,-0.0184,0.69
distribution,分派,8,8,8,-0.0184,0.6877
narcotics,毒品,3,8,3,-0.0184,0.7563
sequentially,先後,2,8,2,-0.0184,0.6584
overhead,經營成本,8,8,8,-0.0184,0.6874
electricity,市電,8,8,8,-0.0184,0.6923
design,外觀設計,8,8,8,-0.0183,0.5741
bail-in,內部財務重整條文,8,8,8,-0.0183,0.6607
sponsor,保薦人,8,4,4,-0.0183,0.6212
wantonly,胡亂,2,2,2,-0.0183,0.6789
enumeration,計算,3,8,3,-0.0183,0.5637
calculated,旨在,8,8,8,-0.0182,0.6656
identity,身分,8,8,8,-0.0182,0.7231
fire safety,消防安全風險評估,8,3,3,-0.0182,0.7189
rated,額定速度,8,7,7,-0.0182,0.461
support,沒有足夠生計維持生活,8,4,4,-0.0182,0.5285
deficient,不足,8,8,8,-0.0181,0.5276
postponement,延遲,8,8,8,-0.0181,0.6029
interchange,電子數據交換,8,2,2,-0.0181,0.5202
pain,刑罰,8,8,8,-0.018,0.5734
minimum,最低資本要求,8,8,8,-0.018,0.6172
player,博彩者,8,2,2,-0.018,0.6156
website,網站,8,8,8,-0.018,0.5815
information,信息,8,8,8,-0.0179,0.689
accomplish,履行,3,8,3,-0.0179,0.4892
follow-up,較大嬰兒及幼兒配方產品,8,8,8,-0.0179,0.7176
secondment,借調,8,8,8,-0.0179,0.6498
non-local,非本地經營,8,2,2,-0.0178,0.7294
revised,修改,8,8,8,-0.0178,0.6304
law enforcement agency,執法機構,8,6,6,-0.0177,0.6363
instruction,委託,8,8,8,-0.0176,0.6139
supply of goods,供應貨品,8,8,8,-0.0176,0.8184
aerodrome,機場,8,8,8,-0.0176,0.6912
waybill,空運提單,8,8,8,-0.0176,0.6126
duces tecum,着令攜帶文件出庭,8,8,8,-0.0176,0.5607
negate,否定,8,8,8,-0.0175,0.5288
immunity,豁免,8,8,8,-0.0174,0.5639
receiving,收養國,8,4,4,-0.0174,0.5389
reissue,重新發出,8,8,8,-0.0173,0.7259
robust,堅固,8,8,8,-0.0173,0.4553
kindergarten,幼稚園教育,8,8,8,-0.0173,0.7847
dental,已登記的牙齒衞生員,8,3,3,-0.0173,0.6351
conduct,處理,8,8,8,-0.0172,0.6592
employ,僱用,8,8,8,-0.0172,0.7899
