en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
restraint,限制,8,8,8,-0.0172,0.609
accruing,累算欠,8,8,8,-0.0172,0.5756
continuation,延續,8,8,8,-0.0172,0.6772
during,在正常辦公時間內,8,8,8,-0.0172,0.6003
LPF Register,基金登記冊,8,8,8,-0.0172,0.6773
in concert,一致行動,5,2,2,-0.0172,0.519
useful,有用的宗旨,8,2,2,-0.0172,0.7091
strict,嚴格,8,8,8,-0.017,0.7473
last known,最後所知,8,8,8,-0.017,0.6736
sell,出售,8,8,8,-0.017,0.7951
weekday,周日,6,8,6,-0.017,0.6735
winter,冬季開庭期,8,3,3,-0.017,0.6328
demerit,缺點,2,8,2,-0.0169,0.5493
still-born,非活產,6,8,6,-0.0169,0.678
telex,電傳,8,8,8,-0.0169,0.7501
in posse,可能存在,8,8,8,-0.0168,0.6056
all,一切應盡努力,8,2,2,-0.0168,0.5658
compute,計算,7,8,7,-0.0168,0.6076
revaluation,價值重估,8,8,8,-0.0168,0.6578
begin,開展任何法律程序,8,4,4,-0.0167,0.4427
mis-statement,錯誤陳述,8,8,8,-0.0167,0.6473
captive,專屬自保保險人,8,8,8,-0.0167,0.703
Tenants Purchase Scheme,租者置其屋計劃,5,5,5,-0.0166,0.7115
charge,押記,8,8,8,-0.0166,0.5936
invitation,邀請,8,8,8,-0.0166,0.67
expectation,期待,8,2,2,-0.0165,0.541
notification,通知書,8,8,8,-0.0165,0.6581
amusement game centre,遊戲機中心,8,8,8,-0.0165,0.8101
repatriation,送返,8,7,7,-0.0165,0.6945
deferred,合資格延期年金保單,8,3,3,-0.0165,0.6025
Electrical and Mechanical Services Department,機電工程署,8,8,8,-0.0165,0.7423
hand,交付,8,8,8,-0.0164,0.7457
symbol,識別符號,8,2,2,-0.0164,0.5977
captivity,關禁,8,8,8,-0.0163,0.7117
charge-holder,受押人,2,3,2,-0.0163,0.6724
vouch,擔保,2,8,2,-0.0162,0.4058
disposer,處置者,5,8,5,-0.0162,0.5893
medical,醫療護理,8,8,8,-0.0162,0.5978
reassign,再轉讓,8,8,8,-0.0162,0.5317
backed,擔保,8,8,8,-0.0162,0.5308
inter se,相互之間,8,4,4,-0.0161,0.5713
carriage,海上貨物運輸,8,7,7,-0.0161,0.7474
broadcaster,廣播業者,8,8,8,-0.0161,0.6649
hovercraft,氣墊船,8,8,8,-0.0161,0.7635
interbank,銀行同業,6,8,6,-0.016,0.688
care,小心,8,8,8,-0.0159,0.6149
in transitu,途中停運權,7,6,6,-0.0159,0.7826
regular,有規律地,8,2,2,-0.0159,0.5187
staying,禁止逗留區,8,8,8,-0.0159,0.5925
contest,爭議,8,8,8,-0.0158,0.5638
formulation,擬定方式,8,5,5,-0.0158,0.5939
uncapitalised,未化作本金的利息,2,2,2,-0.0158,0.7633
idiosyncratic,異常特殊的事件,4,2,2,-0.0157,0.4838
out of possession,不再管有,5,6,5,-0.0156,0.6281
delinquency,拖欠比率,5,2,2,-0.0155,0.6033
productivity,生產能力水平,8,6,6,-0.0155,0.5968
wire,電傳轉帳,8,3,3,-0.0155,0.6293
established,已制定,8,8,8,-0.0154,0.5764
retraining,再培訓津貼,8,8,8,-0.0154,0.6929
transition,過渡期,8,8,8,-0.0154,0.6237
audible,可聽到及可看到,8,2,2,-0.0154,0.6112
fixation,錄製權,8,8,8,-0.0153,0.7208
pawning,非法當押,3,2,2,-0.0153,0.4467
hand over,交出,8,8,8,-0.0152,0.5753
personal,人身,8,8,8,-0.0152,0.6338
commodity,商品,8,8,8,-0.0152,0.5914
substitutability,可取代性,2,2,2,-0.0152,0.512
deliberate,故意,8,8,8,-0.0151,0.4751
signalling,示意,8,8,8,-0.0151,0.6252
ordre public,公共秩序,8,8,8,-0.0151,0.5098
pledgee,承押人,2,3,2,-0.0149,0.669
non-assignable,不可轉讓,3,8,3,-0.0149,0.5973
realization,變現,8,8,8,-0.0148,0.472
distributor,分銷商,8,8,8,-0.0148,0.6185
adopter,領養人,8,8,8,-0.0147,0.6738
assignee,受讓人,8,8,8,-0.0147,0.6187
through bill of lading,全程提單,8,8,8,-0.0147,0.7241
notifiable interest,須具報權益,5,5,5,-0.0146,0.6381
disobey,不遵從,2,8,2,-0.0146,0.6187
session,審訊期,8,7,7,-0.0145,0.5882
indeterminate,無限期刑罰,8,6,6,-0.0145,0.7036
supplier,供應人,8,8,8,-0.0145,0.674
about to,即將,8,8,8,-0.0145,0.6382
navigation,航行,8,8,8,-0.0144,0.7772
Official Receiver,破產管理署署長,8,8,8,-0.0144,0.6256
engagement,協定,8,8,8,-0.0144,0.6632
registrant,登記人,8,8,8,-0.0144,0.6613
undeliverable,無法派遞,4,8,4,-0.0144,0.6741
reserved,儲備商品,8,8,8,-0.0144,0.5834
exclusive,專有,8,8,8,-0.0143,0.4757
forename,名字,8,8,8,-0.0143,0.6972
notation,註明,7,8,7,-0.0143,0.5989
hold,保持,8,8,8,-0.0142,0.6934
interment,安放權,8,8,8,-0.0142,0.6717
turnstile,票閘、欄障或旋轉柵閘,5,4,4,-0.0142,0.6616
short title,簡稱,8,8,8,-0.0141,0.6445
persistence,持續存在,2,8,2,-0.0141,0.5402
trading,內幕交易,8,8,8,-0.014,0.6232
drawing,繪圖,8,8,8,-0.014,0.6665
commissioner for oaths,監誓員,8,8,8,-0.0139,0.6516
marshall,執行官,4,4,4,-0.0139,0.3865
accident,意外事故,8,5,5,-0.0139,0.703
marketing,銷售,8,8,8,-0.0139,0.7074
one-off,單次,7,8,7,-0.0139,0.7424
pool,參照組合,8,2,2,-0.0139,0.5681
signer,簽署人,8,8,8,-0.0139,0.6703
open-ended,開放式集體投資計劃,8,2,2,-0.0139,0.6343
tranched,分份額,8,8,8,-0.0139,0.6742
domestic,住宅用,8,8,8,-0.0138,0.741
issuer,發出人,8,8,8,-0.0138,0.6518
infringing copies,侵犯版權複製品,8,8,8,-0.0138,0.7288
cessation,不再存在,8,8,8,-0.0138,0.6088
interception,截取,8,8,8,-0.0138,0.5888
sea-going,海域航行船舶,8,8,8,-0.0138,0.6315
facility,融通,8,8,8,-0.0137,0.6155
relator,促訟人,6,6,6,-0.0137,0.6206
summon,傳訊,8,8,8,-0.0137,0.5665
repurchase,購回,8,8,8,-0.0137,0.7066
unvalued,不定值保單,8,8,8,-0.0137,0.7381
production,提交令,8,8,8,-0.0136,0.5046
conspicuous,顯眼處,8,8,8,-0.0136,0.8194
distressed,遇險的人,8,8,8,-0.0136,0.4833
behalf,利益,8,8,8,-0.0135,0.7216
counting station,主要點票站,8,3,3,-0.0135,0.734
corpus,主體,8,8,8,-0.0134,0.4723
master policy,總保單,4,3,3,-0.0134,0.6185
certificated,持有證書,8,3,3,-0.0134,0.7142
cite,引稱,5,8,5,-0.0134,0.5226
Register of Appeals,上訴登記冊,3,3,3,-0.0134,0.7095
travelling,交通費,8,8,8,-0.0134,0.6386
master policy of insurance,總保險單,2,3,2,-0.0133,0.7054
variance,矛盾,8,8,8,-0.0133,0.5389
depreciated,折舊價值,8,2,2,-0.0133,0.4852
inventive,創造性,6,3,3,-0.0133,0.8002
subscriber,登記人,8,8,8,-0.0133,0.6791
probationership,見習課程,2,2,2,-0.0132,0.3421
committal,因犯藐視法庭罪而被交付羈押,8,5,5,-0.0132,0.4908
berth,泊位,8,8,8,-0.0132,0.7137
drill,演習,8,8,8,-0.0132,0.7489
water,水域,8,8,8,-0.0132,0.7377
commute,減輕,8,8,8,-0.0131,0.5342
post office,流動郵政局,8,3,3,-0.0131,0.6223
proper,適當地顧及,8,5,5,-0.013,0.7057
overdraft,透支,8,8,8,-0.013,0.7062
intrusion,侵入,3,8,3,-0.0129,0.6307
investment,投資,8,8,8,-0.0129,0.6781
inefficiency,效率欠佳,7,7,7,-0.0129,0.5335
booking,協定預約費用,8,6,6,-0.0129,0.7218
retain,保留,8,8,8,-0.0128,0.7053
blasting,礦場燃爆證書,8,5,5,-0.0128,0.6397
safe,安全,8,8,8,-0.0127,0.765
aeronautical,《國際航空和海上搜尋救助手冊》,8,2,2,-0.0127,0.5906
consumption,耗用,8,8,8,-0.0127,0.583
commodity-related derivative contract,商品關聯衍生工具合約,8,8,8,-0.0126,0.7939
uphold,維持,8,8,8,-0.0126,0.4321
architectural,建築師團體,8,3,3,-0.0126,0.6536
trainee,實習律師合約,8,8,8,-0.0126,0.6856
assignable,轉讓,8,8,8,-0.0125,0.6389
foster,寄養父母,8,2,2,-0.0125,0.5911
medicine,醫療,8,8,8,-0.0125,0.6478
same,相同類別,8,7,7,-0.0125,0.6593
proportionally,按比例上調,8,3,3,-0.0125,0.5514
again,恢復可持續經營,8,3,3,-0.0124,0.6296
time-rate,計時工資率,2,2,2,-0.0124,0.639
quality control,項目質素監控審視,8,4,4,-0.0124,0.7094
missing person,失蹤者,8,4,4,-0.0123,0.7987
competently,稱職地,8,8,8,-0.0123,0.7574
monitor,監察,8,8,8,-0.0123,0.6743
definition,界定,8,8,8,-0.0122,0.703
ex gratia,特惠款項,8,6,6,-0.0122,0.5022
propulsion,驅動,8,8,8,-0.0122,0.7803
cancel,取消,8,8,8,-0.0121,0.6762
inventory,存貨,8,8,8,-0.0121,0.6913
addiction,戒毒所,8,8,8,-0.0121,0.6156
continue,繼續有效,8,8,8,-0.0121,0.5842
first-mentioned,首述,8,8,8,-0.0121,0.6687
machine,木工機器,8,8,8,-0.0121,0.6931
first,表面,8,8,8,-0.012,0.5869
sub-licence,再授特許,8,8,8,-0.012,0.6057
connect,連接,8,8,8,-0.012,0.7625
renew,續期,8,8,8,-0.012,0.7083
discipline,紀律,8,8,8,-0.0119,0.746
incremental,增值,8,8,8,-0.0119,0.6591
electronic record,電子紀錄,8,8,8,-0.0118,0.7726
emergency,緊急情況,8,8,8,-0.0118,0.7346
gaming house,賭場,2,5,2,-0.0118,0.5555
enforceability,可執行性,8,2,2,-0.0118,0.4928
keeper,管理人,8,8,8,-0.0118,0.7126
stipulations,約定條件,8,8,8,-0.0118,0.64
gift,贈與,8,2,2,-0.0117,0.5513
pupil,見習大律師,8,7,7,-0.0117,0.6433
single,個別,8,8,8,-0.0117,0.505
admonish,訓誡,8,8,8,-0.0117,0.6792
fixed-pitch,固定攤位小販牌照,8,8,8,-0.0117,0.6427
prepaid,預繳,8,4,4,-0.0117,0.7192
empirical,實證,2,8,2,-0.0117,0.4129
practising,執業證書,8,8,8,-0.0116,0.7056
habeas corpus ad testificandum,解交被拘押者到庭作證令狀,2,2,2,-0.0115,0.6555
familiar,熟知,8,3,3,-0.0115,0.4762
Futures Exchange Company,期交所,8,8,8,-0.0114,0.6742
maintenance,保養,8,8,8,-0.0113,0.7927
change,改變,8,8,8,-0.0113,0.7855
disembark,離開船舶,8,8,8,-0.0113,0.6691
open to,向公眾開放辦公,8,5,5,-0.0113,0.5907
tie,密切聯繫,2,8,2,-0.0113,0.4684
caution,謹慎,8,8,8,-0.0112,0.7228
make available,提供予公眾查閱,8,8,8,-0.0112,0.6907
business,事務,8,8,8,-0.0111,0.6567
Secretary for Justice,律政司司長,8,8,8,-0.0111,0.6034
hoist,懸掛,8,8,8,-0.0111,0.6781
intern,實習學員,8,2,2,-0.0111,0.5273
weathertight,風雨密,8,8,8,-0.0111,0.7146
deadline,寬免期限,8,3,3,-0.0111,0.6154
basis,基礎,8,8,8,-0.011,0.6745
term,任期,8,8,8,-0.011,0.6813
shipping,商船公告,8,8,8,-0.011,0.6722
mine,礦場燃爆證書,8,5,5,-0.011,0.6367
catastrophe,人壽巨災風險,8,2,2,-0.011,0.6184
subscribe,簽署,8,8,8,-0.0109,0.6209
covering,暫保單,8,5,5,-0.0109,0.6729
signature,簽名,8,8,8,-0.0108,0.7029
continuously,連續,8,8,8,-0.0108,0.6656
duty-paid,已完稅貨品,8,8,8,-0.0108,0.7349
formulate,制訂,8,8,8,-0.0108,0.5648
periodical,按期付款,8,8,8,-0.0108,0.4912
transmit,傳轉,8,8,8,-0.0107,0.7256
ability,才能,8,8,8,-0.0107,0.5975
close out,平倉,4,8,4,-0.0106,0.5672
grace period,寬限期,8,8,8,-0.0106,0.4884
index,索引,8,8,8,-0.0106,0.6687
servant,政府人員,8,8,8,-0.0106,0.6855
zone,點票區,8,8,8,-0.0106,0.5322
forwarder,代運人,7,4,4,-0.0106,0.6265
group-wide,集團層面,2,3,2,-0.0106,0.642
operate,操作,8,8,8,-0.0105,0.6569
funder,出資第三者,5,7,5,-0.0105,0.7647
crypto,加密資產,2,8,2,-0.0105,0.5933
minor,未成年人,8,8,8,-0.0104,0.7198
represent,代表,8,8,8,-0.0104,0.5092
ozone,《1985年保護臭氧層維也納公約》,8,2,2,-0.0104,0.5573
pack,消費裝,8,7,7,-0.0104,0.6177
late,遲付,8,2,2,-0.0103,0.5981
at liberty,隨意,8,8,8,-0.0103,0.5669
bonus,花紅,8,8,8,-0.0103,0.6465
extinction,終絕,8,8,8,-0.0103,0.6213
initiative,主動,8,8,8,-0.0103,0.6012
selection,產生,8,8,8,-0.0103,0.5097
commencement date,開始日期,8,8,8,-0.0102,0.7068
prohibited,被禁,8,8,8,-0.0102,0.7561
International Commission on Illumination,國際照明委員會,2,2,2,-0.0102,0.6877
actuate,被顯明的惡意所驅動,3,4,3,-0.0102,0.4195
attending,沒有出席,8,8,8,-0.0102,0.5753
determine,終止,8,8,8,-0.0102,0.7001
journey,旅程,8,8,8,-0.0102,0.7902
non-legible,不可閱,8,4,4,-0.0102,0.6
sound,狀況良好,8,8,8,-0.0102,0.5542
vocational,職業康復,8,2,2,-0.0102,0.5821
at will,隨意,8,8,8,-0.0101,0.5679
return,利潤,8,8,8,-0.0101,0.6041
functionary,受薪政府人員,8,8,8,-0.0101,0.5029
prospects,前景,8,5,5,-0.0101,0.6167
liquor,令人醺醉的酒類,8,8,8,-0.0101,0.7268
list,清單,8,8,8,-0.01,0.6208
automated,自動化方法,8,8,8,-0.01,0.6709
deliverable,可交付狀態,8,5,5,-0.01,0.741
promptly,隨即,8,8,8,-0.01,0.6214
hawker,固定攤位小販牌照,8,8,8,-0.01,0.652
unmodified,無改動示範單位,3,3,3,-0.01,0.529
unissued,未發行股份,8,8,8,-0.01,0.6631
medical opinion,醫學意見,2,4,2,-0.0099,0.5818
bet,投注,8,8,8,-0.0099,0.7934
habeas corpus ad respondendum,解交被拘押者到庭答辯令狀,2,2,2,-0.0098,0.6702
apprehend,意恐,8,6,6,-0.0098,0.7009
forensic,司法,8,8,8,-0.0098,0.5935
insurance,保險,8,8,8,-0.0098,0.7775
voting,投票,8,8,8,-0.0098,0.7067
refrain,避免,8,8,8,-0.0098,0.6624
viscosity,黏度,8,8,8,-0.0098,0.7479
has the capacity to,有行為能力,7,8,7,-0.0098,0.4778
abridgement,削減,8,8,8,-0.0097,0.5507
affiliate,有聯繫者,8,8,8,-0.0097,0.5414
rebuilding,重建免稅額,8,2,2,-0.0097,0.4968
held,被羈押,8,8,8,-0.0097,0.728
boothless,無亭收費隧道,8,8,8,-0.0097,0.6664
charterer,承租人,8,8,8,-0.0096,0.6471
endorse,註明,8,8,8,-0.0096,0.5577
conception,受孕,4,4,4,-0.0096,0.6585
margining,追繳保證金,3,8,3,-0.0096,0.5698
stage,分階段,8,7,7,-0.0096,0.5911
wholesale,批發銷售,8,3,3,-0.0096,0.5715
predetermined,預定,8,8,8,-0.0096,0.5857
physiotherapist,註冊物理治療師,8,5,5,-0.0096,0.7466
address,地址,8,8,8,-0.0095,0.7808
freezing,凍結,8,8,8,-0.0095,0.7203
intimidate,恐嚇,2,8,2,-0.0095,0.6667
positive,積極,8,8,8,-0.0095,0.5056
promise,承諾,8,8,8,-0.0095,0.6554
die,印模,8,8,8,-0.0095,0.7054
message,訊息,8,8,8,-0.0095,0.7867
usher,裁判法院的傳達員,4,3,3,-0.0095,0.6104
vulnerable,易受傷害證人,6,2,2,-0.0095,0.4709
re-appointed,再度受聘任職,8,8,8,-0.0095,0.5175
solo,按單獨基礎,8,8,8,-0.0095,0.7335
room,噴塗室,8,7,7,-0.0095,0.6859
remunerated,受薪,8,8,8,-0.0094,0.6743
unpaid seller,未獲付款的賣方,6,6,6,-0.0094,0.7455
demonetization,停止通用,2,2,2,-0.0094,0.6085
in question,存有疑問,8,8,8,-0.0094,0.5267
merchandise,商用飛機,8,2,2,-0.0094,0.6924
recklessly,罔顧後果地,8,8,8,-0.0094,0.4997
turn,依次序,8,2,2,-0.0094,0.5917
quotation,報價,4,8,4,-0.0093,0.6396
vacation,休假,8,8,8,-0.0093,0.6255
convene,召開,8,8,8,-0.0093,0.5019
non voting,無表決權,2,3,2,-0.0093,0.7116
periodic,定期,8,8,8,-0.0093,0.5557
sender,傳送人,8,5,5,-0.0093,0.6709
label,噪音標籤,8,8,8,-0.0093,0.5525
aggrieved,感到受屈,8,8,8,-0.0092,0.6881
practising certificate,執業證書,8,8,8,-0.0092,0.7409
equal,平等,8,8,8,-0.0091,0.7224
operable,可使用,8,8,8,-0.0091,0.5704
prepaid letter,預付郵資的信件,3,7,3,-0.0091,0.6787
piracy,海盜行為,8,5,5,-0.0091,0.7899
submit,呈述,8,8,8,-0.0091,0.6018
submitted,妥為送交,8,8,8,-0.0091,0.6161
moving,活動視覺影像,8,3,3,-0.0091,0.6737
defray,支付,8,8,8,-0.009,0.5521
syllabus,範圍綱要,8,5,5,-0.009,0.7171
premiums,合資格年金保費,8,7,7,-0.009,0.459
exculpate,辯白,2,2,2,-0.0089,0.4929
computing,計算方法,8,8,8,-0.0089,0.6504
emit,排放,8,8,8,-0.0089,0.7395
gaming,博彩,7,8,7,-0.0089,0.6472
co-ownership,共有權,3,4,3,-0.0088,0.676
put,認沽權,8,2,2,-0.0088,0.5219
centre,羈留中心,8,8,8,-0.0088,0.6679
drawn,支取,8,8,8,-0.0088,0.5983
school,職前訓練學校,8,4,4,-0.0088,0.6665
shadow,幕後董事,8,8,8,-0.0088,0.6072
in effect,效力相同,8,8,8,-0.0088,0.6048
with the intention,意圖,8,8,8,-0.0088,0.6529
disapplication,改變效力公告,8,8,8,-0.0088,0.7303
incident,事件,8,8,8,-0.0087,0.6349
letter,信件,8,8,8,-0.0087,0.7215
care home,院舍,8,8,8,-0.0087,0.7139
grant,批予,8,8,8,-0.0086,0.7305
oath,宣誓,8,8,8,-0.0086,0.673
aviation,《國際民用航空公約》,8,2,2,-0.0086,0.6972
deal,交易,8,8,8,-0.0086,0.6207
run,隨土地轉移,8,4,4,-0.0086,0.5876
with intent to,意圖欺騙,8,8,8,-0.0086,0.7306
apprehension,拘捕,8,8,8,-0.0085,0.7854
lift,升降機,8,8,8,-0.0085,0.6895
franchisor,專營權授予者,3,3,3,-0.0085,0.4899
impartation,傳遞,2,8,2,-0.0085,0.4812
terminate,終止,8,8,8,-0.0084,0.7106
risk assessment,消防安全風險評估,8,3,3,-0.0084,0.7368
wharf,貨運碼頭,8,8,8,-0.0084,0.5728
become,即告懸空,8,7,7,-0.0084,0.5865
mixture,物質混合物,8,2,2,-0.0083,0.5458
supervise,督導,8,8,8,-0.0083,0.7719
sub-listing,分銷放盤代理,3,3,3,-0.0083,0.5688
resolvability,處置可行性覆檢審裁處,8,8,8,-0.0083,0.6074
in the public interest,為公眾利益起見,8,3,3,-0.0082,0.5594
maiden surname,婚前姓氏,6,5,5,-0.0082,0.7583
technologist,註冊醫務化驗師,8,4,4,-0.0082,0.6684
opportunity,平等機會,8,8,8,-0.0081,0.6336
visibility,能見度低,8,5,5,-0.0081,0.6897
quantification,截算日,5,4,4,-0.0081,0.5844
therapist,註冊職業治療師,8,5,5,-0.0081,0.7453
dissemination,散布,8,7,7,-0.008,0.7483
fide; fides,信用,8,8,8,-0.008,0.523
parking,停車位,8,8,8,-0.008,0.7235
direct,直接,8,8,8,-0.0079,0.7388
open,公開,8,8,8,-0.0079,0.6672
fugitive,逃犯,8,8,8,-0.0079,0.5763
re-employ,重新僱用,5,8,5,-0.0079,0.6805
conclusive,不可推翻,8,8,8,-0.0078,0.5674
chemist,政府化驗師,8,8,8,-0.0078,0.672
command,指揮,8,8,8,-0.0078,0.7631
denote,用數字表明,4,2,2,-0.0078,0.5056
intermittently,間歇,3,8,3,-0.0078,0.6113
aural,現場聲藝表演,7,6,6,-0.0078,0.6474
clawback,扣除額,6,8,6,-0.0077,0.5767
individual,個人,8,8,8,-0.0077,0.7538
affix,加蓋,8,8,8,-0.0077,0.6129
multi-unit,多單位建築物,3,3,3,-0.0077,0.4648
surcharge,附加費,8,8,8,-0.0076,0.6503
extension,延長時限,8,8,8,-0.0076,0.5621
temporarily,暫不在場,8,3,3,-0.0076,0.6082
convey,轉易,8,8,8,-0.0075,0.6208
disciplinary action,紀律制裁,8,8,8,-0.0075,0.6717
replacement cost,重置成本,8,8,8,-0.0075,0.5687
existing,現有權利,8,3,3,-0.0075,0.6406
Adopted Children Register,領養子女登記冊,8,8,8,-0.0075,0.7396
casualty,災害事故,8,8,8,-0.0075,0.5515
massage establishment,按摩院,8,8,8,-0.0075,0.7473
pay out,支出,8,8,8,-0.0075,0.6144
receptacle,壓力氣體容器,8,8,8,-0.0075,0.6239
eligible,具有資格,8,8,8,-0.0074,0.7462
dealer,交易商,8,8,8,-0.0073,0.7644
adapt,改裝,8,8,8,-0.0073,0.7414
confidentiality,保密,8,8,8,-0.0072,0.6073
experience,職業方面的經驗,8,4,4,-0.0072,0.5071
instance,自行,8,8,8,-0.0072,0.6083
licensed,持牌,8,8,8,-0.007,0.6005
rectification,修復,8,8,8,-0.007,0.6178
tanker,化學品液貨船,8,8,8,-0.007,0.6677
salvage,《1989年國際救助公約》,8,2,2,-0.007,0.4951
infancy,未成年,3,8,3,-0.007,0.5159
logo,標識,8,8,8,-0.007,0.7325
type,類別,8,8,8,-0.007,0.7894
internship,實習,8,8,8,-0.007,0.7409
dynamically,動力承托的航行器,8,8,8,-0.007,0.6469
Convention on Temporary Admission,暫准進口公約,3,3,3,-0.0069,0.5946
cargo,貨物,8,8,8,-0.0069,0.8043
re-entry,重回,8,2,2,-0.0069,0.6902
re-export,轉口,8,8,8,-0.0069,0.756
encumbrance,產權負擔,8,8,8,-0.0069,0.4954
gangway,過道,8,8,8,-0.0069,0.6925
guard,防止,8,8,8,-0.0069,0.6188
hunting,獵捕,8,5,5,-0.0069,0.7284
temporary,一時,8,8,8,-0.0068,0.7348
allocate,編配,8,8,8,-0.0068,0.6341
attribution,虛假署名,8,5,5,-0.0068,0.6253
present,在場,8,8,8,-0.0068,0.5955
arrived at,得出,8,8,8,-0.0068,0.4607
declaration,宣告,8,8,8,-0.0067,0.5845
by law,在法律上,8,8,8,-0.0067,0.6966
hiring,出租,8,8,8,-0.0067,0.5757
solely,純粹,8,8,8,-0.0067,0.6478
ro-ro,滾裝客船,7,8,7,-0.0067,0.5793
continuance,持續有效,8,8,8,-0.0066,0.6624
net,淨值,8,8,8,-0.0066,0.5741
ex-officio,當然議員,8,8,8,-0.0066,0.5542
RME course,風險管理課程,3,3,3,-0.0066,0.6445
managerial,管理職能,8,8,8,-0.0066,0.6531
abuse,濫用,8,8,8,-0.0065,0.7024
validity,有效性,8,8,8,-0.0065,0.7345
alternate,候補,8,8,8,-0.0065,0.4979
facilitator,促進人,7,8,7,-0.0065,0.7069
pronouncement,宣布,8,8,8,-0.0065,0.613
sketch,素描,8,5,5,-0.0065,0.6456
property,物業,8,8,8,-0.0064,0.7039
recourse,借助,8,8,8,-0.0064,0.6031
risk,風險,8,8,8,-0.0064,0.6822
rural,鄉郊地區,8,8,8,-0.0064,0.6026
withdraw,撤回,8,8,8,-0.0063,0.6259
conversant,熟悉,7,8,7,-0.0063,0.6801
determined,已釐定的每年的地價分期付款,8,4,4,-0.0063,0.6362
flag,國旗,8,8,8,-0.0063,0.6513
impede,妨礙,8,8,8,-0.0063,0.6766
non-economic,非經濟權利,2,2,2,-0.0063,0.7679
Red Cross,紅十字國際委員會,8,4,4,-0.0063,0.6835
arrival,到港證,8,3,3,-0.0062,0.5829
bear,附有,8,8,8,-0.0062,0.6329
carelessness,不小心,6,8,6,-0.0062,0.5295
roadworthiness,車輛宜於道路上使用證明書,4,3,3,-0.0062,0.7939
observable,公眾觀察到,8,3,3,-0.0062,0.5845
absolutely,完全,8,8,8,-0.0061,0.6325
automatic,自動,8,8,8,-0.0061,0.7883
reserve,保留,8,8,8,-0.0061,0.6382
marking,標記,8,8,8,-0.0061,0.7945
poison,施用毒藥,8,6,6,-0.0061,0.6794
supplement,增補,8,8,8,-0.0061,0.6497
pre-arranged,預定行程,8,8,8,-0.0061,0.7495
recovery,收回,8,8,8,-0.006,0.6167
subcontractor,分包商,8,4,4,-0.006,0.6383
capitalize,將利潤資本化,3,2,2,-0.006,0.6703
correspondence,通信,8,8,8,-0.006,0.6918
rely,依據,8,8,8,-0.006,0.6978
restaurant,水上食肆,8,8,8,-0.006,0.7016
unnecessarily,不必要地,8,8,8,-0.006,0.6644
withstand,承受,8,8,8,-0.006,0.5537
fluctuation,承受風險波動的能力,7,2,2,-0.006,0.5741
satisfactorily,充分證明,8,8,8,-0.006,0.5588
appreciation,增值,8,8,8,-0.0059,0.5861
nomination,提名,8,8,8,-0.0059,0.6074
reveal,公開,8,8,8,-0.0059,0.5719
charter,租用合約,8,3,3,-0.0058,0.5889
garnishee,第三債務人,8,8,8,-0.0058,0.455
objective,宗旨,8,8,8,-0.0058,0.5351
disagreement,異議,6,8,6,-0.0058,0.5612
in fact,事實上,8,8,8,-0.0058,0.5312
manager,管理人,8,8,8,-0.0058,0.577
North-west Transit Service Area,西北鐵路服務範圍,8,8,8,-0.0058,0.7471
manuscript,手稿,8,8,8,-0.0057,0.7811
reliance,依賴,8,8,8,-0.0057,0.4392
surgeon,獸醫,8,8,8,-0.0057,0.7557
subvented,補助機構,8,2,2,-0.0057,0.6064
obligatory,強制性,8,8,8,-0.0056,0.6278
reciprocal,互惠,8,8,8,-0.0056,0.7103
minimize,盡量減少,8,8,8,-0.0056,0.6706
minute,紀錄,8,8,8,-0.0056,0.6531
tong,堂,8,8,8,-0.0056,0.6098
trade-related,貿易關聯或有項目,4,4,4,-0.0056,0.7765
pound,動物羈留所費用,8,2,2,-0.0056,0.5526
subdelegate,再轉授該職能,8,5,5,-0.0056,0.7178
censure,責備,8,4,4,-0.0055,0.4112
policy,保單,8,8,8,-0.0055,0.6146
embody,體現,4,8,4,-0.0055,0.5254
works,工程設施,8,8,8,-0.0055,0.6943
imprudent,輕率,2,8,2,-0.0054,0.7271
modification,修改,8,8,8,-0.0054,0.6744
